t,Gx,Gy,Gz
4.93,0,0,1
4.94,0,0,1
4.95,0,0,1
4.96,0,0,1
4.97,0,0,1
4.98,0,0,1
4.99,0,0,1
5,0,0,1
5.01,0,0,1
5.02,0,0,1
5.03,0,0,1
5.04,0,0,1
5.05,0,0,1
5.06,0,0,1
5.07,0,0,1
5.08,0,0,1
5.09,0,0,1
5.1,0,0,1
5.11,0,0,1
5.12,0,0,1
5.13,0,0,1
5.14,0,0,1
5.15,0,0,1
5.16,0,0,1
5.17,0,0,1
5.18,0,0,1
5.19,0,0,1
5.2,0,0,1
5.21,0,0,1
5.22,0,0,1
5.23,0,0,1
5.24,0,0,1
5.25,0,0,1
5.26,0,0,1
5.27,0,0,1
5.28,0,0,1
5.29,0,0,1
5.3,0,0,1
5.31,0,0,1
5.32,0,0,1
5.33,0,0,1
5.34,0,0,1
5.35,0,0,1
5.36,0,0,1
5.37,0,0,1
5.38,0,0,1
5.39,0,0,1
5.4,0,0,1
5.41,0,0,1
5.42,0,0,1
5.43,0,0,1
5.44,0,0,1
5.45,0,0,1
5.46,0,0,1
5.47,0,0,1
5.48,0,0,1
5.49,0,0,1
5.5,0,0,1
5.51,0,0,1
5.52,0,0,1
5.53,0,0,1
5.54,0,0,1
5.55,0,0,1
5.56,0,0,1
5.57,0,0,1
5.58,0,0,1
5.59,0,0,1
5.6,0,0,1
5.61,0,0,1
5.62,0,0,1
5.63,0,0,1
5.64,0,0,1
5.65,0,0,1
5.66,0,0,1
5.67,0,0,1
5.68,0,0,1
5.69,0,0,1
5.7,0,0,1
5.71,0,0,1
5.72,0,0,1
5.73,0,0,1
5.74,0,0,1
5.75,0,0,1
5.76,0,0,1
5.77,0,0,1
5.78,0,0,1
5.79,0,0,1
5.8,0,0,1
5.81,0,0,1
5.82,0,0,1
5.83,0,0,1
5.84,0,0,1
5.85,0,0,1
5.86,0,0,1
5.87,0,0,1
5.88,0,0,1
5.89,0,0,1
5.9,0,0,1
5.91,0,0,1
5.92,0,0,1
5.93,0,0,1
5.94,0,0,1
5.95,0,0,1
5.96,0,0,1
5.97,0,0,1
5.98,0,0,1
5.99,0,0,1
6,0,0,1
6.01,0,0,1
6.02,0,0,1
6.03,0,0,1
6.04,0,0,1
6.05,0,0,1
6.06,0,0,1
6.07,0,0,1
6.08,0,0,1
6.09,0,0,1
6.1,0,0,1
6.11,0,0,1
6.12,0,0,1
6.13,0,0,1
6.14,0,0,1
6.15,0,0,1
6.16,0,0,1
6.17,0,0,1
6.18,0,0,1
6.19,0,0,1
6.2,0,0,1
6.21,0,0,1
6.22,0,0,1
6.23,0,0,1
6.24,0,0,1
6.25,0,0,1
6.26,0,0,1
6.27,0,0,1
6.28,0,0,1
6.29,0,0,1
6.3,0,0,1
6.31,0,0,1
6.32,0,0,1
6.33,0,0,1
6.34,0,0,1
6.35,0,0,1
6.36,0,0,1
6.37,0,0,1
6.38,0,0,1
6.39,0,0,1
6.4,0,0,1
6.41,0,0,1
6.42,0,0,1
6.43,0,0,1
6.44,0,0,1
6.45,0,0,1
6.46,0,0,1
6.47,0,0,1
6.48,0,0,1
6.49,0,0,1
6.5,0,0,1
6.51,0,0,1
6.52,0,0,1
6.53,0,0,1
6.54,0,0,1
6.55,0,0,1
6.56,0,0,1
6.57,0,0,1
6.58,0,0,1
6.59,0,0,1
6.6,0,0,1
6.61,0,0,1
6.62,0,0,1
6.63,0,0,1
6.64,0,0,1
6.65,0,0,1
6.66,0,0,1
6.67,0,0,1
6.68,0,0,1
6.69,0,0,1
6.7,0,0,1
6.71,0,0,1
6.72,0,0,1
6.73,0,0,1
6.74,0,0,1
6.75,0,0,1
6.76,0,0,1
6.77,0,0,1
6.78,0,0,1
6.79,0,0,1
6.8,0,0,1
6.81,0,0,1
6.82,0,0,1
6.83,0,0,1
6.84,0,0,1
6.85,0,0,1
6.86,0,0,1
6.87,0,0,1
6.88,0,0,1
6.89,0,0,1
6.9,0,0,1
6.91,0,0,1
6.92,0,0,1
6.93,0,0,1
6.94,0,0,1
6.95,0,0,1
6.96,0,0,1
6.97,0,0,1
6.98,0,0,1
6.99,0,0,1
7,0,0,1
7.01,0,0,1
7.02,0,0,1
7.03,0,0,1
7.04,0,0,1
7.05,0,0,1
7.06,0,0,1
7.07,0,0,1
7.08,0,0,1
7.09,0,0,1
7.1,0,0,1
7.11,0,0,1
7.12,0,0,1
7.13,0,0,1
7.14,0,0,1
7.15,0,0,1
7.16,0,0,1
7.17,0,0,1
7.18,0,0,1
7.19,0,0,1
7.2,0,0,1
7.21,0,0,1
7.22,0,0,1
7.23,0,0,1
7.24,0,0,1
7.25,0,0,1
7.26,0,0,1
7.27,0,0,1
7.28,0,0,1
7.29,0,0,1
7.3,0,0,1
7.31,0,0,1
7.32,0,0,1
7.33,0,0,1
7.34,0,0,1
7.35,0,0,1
7.36,0,0,1
7.37,0,0,1
7.38,0,0,1
7.39,0,0,1
7.4,0,0,1
7.41,0,0,1
7.42,0,0,1
7.43,0,0,1
7.44,0,0,1
7.45,0,0,1
7.46,0,0,1
7.47,0,0,1
7.48,0,0,1
7.49,0,0,1
7.5,0,0,1
7.51,0,0,1
7.52,0,0,1
7.53,0,0,1
7.54,0,0,1
7.55,0,0,1
7.56,0,0,1
7.57,0,0,1
7.58,0,0,1
7.59,0,0,1
7.6,0,0,1
7.61,0,0,1
7.62,0,0,1
7.63,0,0,1
7.64,0,0,1
7.65,0,0,1
7.66,0,0,1
7.67,0,0,1
7.68,0,0,1
7.69,0,0,1
7.7,0,0,1
7.71,0,0,1
7.72,0,0,1
7.73,0,0,1
7.74,0,0,1
7.75,0,0,1
7.76,0,0,1
7.77,0,0,1
7.78,0,0,1
7.79,0,0,1
7.8,0,0,1
7.81,0,0,1
7.82,0,0,1
7.83,0,0,1
7.84,0,0,1
7.85,0,0,1
7.86,0,0,1
7.87,0,0,1
7.88,0,0,1
7.89,0,0,1
7.9,0,0,1
7.91,0,0,1
7.92,0,0,1
7.93,0,0,1
7.94,0,0,1
7.95,0,0,1
7.96,0,0,1
7.97,0,0,1
7.98,0,0,1
7.99,0,0,1
8,0,0,1
8.01,0,0,1
8.02,0,0,1
8.03,0,0,1
8.04,0,0,1
8.05,0,0,1
8.06,0,0,1
8.07,0,0,1
8.08,0,0,1
8.09,0,0,1
8.1,0,0,1
8.11,0,0,1
8.12,0,0,1
8.13,0,0,1
8.14,0,0,1
8.15,0,0,1
8.16,0,0,1
8.17,0,0,1
8.18,0,0,1
8.19,0,0,1
8.2,0,0,1
8.21,0,0,1
8.22,0,0,1
8.23,0,0,1
8.24,0,0,1
8.25,0,0,1
8.26,0,0,1
8.27,0,0,1
8.28,0,0,1
8.29,0,0,1
8.3,0,0,1
8.31,0,0,1
8.32,0,0,1
8.33,0,0,1
8.34,0,0,1
8.35,0,0,1
8.36,0,0,1
8.37,0,0,1
8.38,0,0,1
8.39,0,0,1
8.4,0,0,1
8.41,0,0,1
8.42,0,0,1
8.43,0,0,1
8.44,0,0,1
8.45,0,0,1
8.46,0,0,1
8.47,0,0,1
8.48,0,0,1
8.49,0,0,1
8.5,0,0,1
8.51,0,0,1
8.52,0,0,1
8.53,0,0,1
8.54,0,0,1
8.55,0,0,1
8.56,0,0,1
8.57,0,0,1
8.58,0,0,1
8.59,0,0,1
8.6,0,0,1
8.61,0,0,1
8.62,0,0,1
8.63,0,0,1
8.64,0,0,1
8.65,0,0,1
8.66,0,0,1
8.67,0,0,1
8.68,0,0,1
8.69,0,0,1
8.7,0.01,0,1
8.71,0.01,0,1
8.72,0.01,0,1
8.73,0.01,0,1
8.74,0.01,0,1
8.75,0.01,0,1
8.76,0.01,0,1
8.77,0.01,0,1
8.78,0.01,0,1
8.79,0.01,0,1
8.8,0.01,0,1
8.81,0.01,0,1
8.82,0.01,0,1
8.83,0.01,0,1
8.84,0.01,0,1
8.85,0.01,0,1
8.86,0.01,0,1
8.87,0.01,0,1
8.88,0.01,0,1
8.89,0.01,0,1
8.9,0.01,0,1
8.91,0.01,0,1
8.92,0.01,0,1
8.93,0.01,0,1
8.94,0.01,0,1
8.95,0.01,0,1
8.96,0.01,0,1
8.97,0.01,0,1
8.98,0.01,0,1
8.99,0.01,0,1
9,0.01,0,1
9.01,0.01,0,1
9.02,0.01,0,1
9.03,0.01,0,1
9.04,0.01,0,1
9.05,0.01,0,1
9.06,0.01,0,1
9.07,0.01,0,1
9.08,0.01,0,1
9.09,0.01,0,1
9.1,0.01,0,1
9.11,0.01,0,1
9.12,0.01,0,1
9.13,0.01,0,1
9.14,0.01,0,1
9.15,0.01,0,1
9.16,0.01,0,1
9.17,0.01,0,1
9.18,0.01,0,1
9.19,0.01,0,1
9.2,0.02,0,1
9.21,0.02,0,1
9.22,0.02,0,1
9.23,0.02,0,1
9.24,0.02,0,1
9.25,0.02,0,1
9.26,0.02,0,1
9.27,0.02,0,1
9.28,0.02,0,1
9.29,0.02,0,1
9.3,0.02,0,1
9.31,0.02,0,1
9.32,0.02,0,1
9.33,0.02,0,1
9.34,0.02,0,1
9.35,0.02,0,1
9.36,0.02,0,1
9.37,0.02,0,1
9.38,0.02,0,1
9.39,0.02,0,1
9.4,0.02,0,1
9.41,0.02,0,1
9.42,0.02,0,1
9.43,0.02,0,1
9.44,0.02,0,1
9.45,0.02,0,1
9.46,0.02,0,1
9.47,0.02,0,1
9.48,0.02,0,1
9.49,0.02,0,1
9.5,0.02,0,1
9.51,0.02,0,1
9.52,0.02,0,1
9.53,0.02,0,1
9.54,0.02,0,1
9.55,0.03,0,1
9.56,0.03,0,1
9.57,0.03,0,1
9.58,0.03,0,1
9.59,0.03,0,1
9.6,0.03,0,1
9.61,0.03,0,1
9.62,0.03,0,1
9.63,0.03,0,1
9.64,0.03,0,1
9.65,0.03,0,1
9.66,0.03,0,1
9.67,0.03,0,1
9.68,0.03,0,1
9.69,0.03,0,1
9.7,0.03,0,1
9.71,0.03,0,1
9.72,0.03,0,1
9.73,0.03,0,1
9.74,0.03,0,1
9.75,0.03,0,1
9.76,0.03,0,1
9.77,0.03,0,1
9.78,0.03,0,1
9.79,0.03,0,1
9.8,0.03,0,1
9.81,0.03,0,1
9.82,0.03,0,1
9.83,0.04,0,1
9.84,0.04,0,1
9.85,0.04,0,1
9.86,0.04,0,1
9.87,0.04,0,1
9.88,0.04,0,1
9.89,0.04,0,1
9.9,0.04,0,1
9.91,0.04,0,1
9.92,0.04,0,1
9.93,0.04,0,1
9.94,0.04,0,1
9.95,0.04,0,1
9.96,0.04,0,1
9.97,0.04,0,1
9.98,0.04,0,1
9.99,0.04,0,1
10,0.04,0,1
10.01,0.04,0,1
10.02,0.04,0,1
10.03,0.04,0,1
10.04,0.04,0,1
10.05,0.04,0,1
10.06,0.04,0,1
10.07,0.04,0,1
10.08,0.05,0,1
10.09,0.05,0,1
10.1,0.05,0,1
10.11,0.05,0,1
10.12,0.05,0,1
10.13,0.05,0,1
10.14,0.05,0,1
10.15,0.05,0,1
10.16,0.05,0,1
10.17,0.05,0,1
10.18,0.05,0,1
10.19,0.05,0,1
10.2,0.05,0,1
10.21,0.05,0,1
10.22,0.05,0,1
10.23,0.05,0,1
10.24,0.05,0,1
10.25,0.05,0,1
10.26,0.05,0,1
10.27,0.05,0,1
10.28,0.05,0,1
10.29,0.05,0,1
10.3,0.06,0,1
10.31,0.06,0,1
10.32,0.06,0,1
10.33,0.06,0,1
10.34,0.06,0,1
10.35,0.06,0,1
10.36,0.06,0,1
10.37,0.06,0,1
10.38,0.06,0,1
10.39,0.06,0,1
10.4,0.06,0,1
10.41,0.06,0,1
10.42,0.06,0,1
10.43,0.06,0,1
10.44,0.06,0,1
10.45,0.06,0,1
10.46,0.06,0,1
10.47,0.06,0,1
10.48,0.06,0,1
10.49,0.06,0,1
10.5,0.07,0,1
10.51,0.07,0,1
10.52,0.07,0,1
10.53,0.07,0,1
10.54,0.07,0,1
10.55,0.07,0,1
10.56,0.07,0,1
10.57,0.07,0,1
10.58,0.07,0,1
10.59,0.07,0,1
10.6,0.07,0,1
10.61,0.07,0,1
10.62,0.07,0,1
10.63,0.07,0,1
10.64,0.07,0,1
10.65,0.07,0,1
10.66,0.07,0,1
10.67,0.07,0,1
10.68,0.08,0,1
10.69,0.08,0,1
10.7,0.08,0,1
10.71,0.08,0,1
10.72,0.08,0,1
10.73,0.08,0,1
10.74,0.08,0,1
10.75,0.08,0,1
10.76,0.08,0,1
10.77,0.08,0,1
10.78,0.08,0,1
10.79,0.08,0,1
10.8,0.08,0,1
10.81,0.08,0,1
10.82,0.08,0,1
10.83,0.08,0,1
10.84,0.08,0,1
10.85,0.08,0,1
10.86,0.09,0,1
10.87,0.09,0,1
10.88,0.09,0,1
10.89,0.09,0,1
10.9,0.09,0,1
10.91,0.09,0,1
10.92,0.09,0,1
10.93,0.09,0,1
10.94,0.09,0,1
10.95,0.09,0,1
10.96,0.09,0,1
10.97,0.09,0,1
10.98,0.09,0,1
10.99,0.09,0,1
11,0.09,0,1
11.01,0.09,0,1
11.02,0.1,0,1
11.03,0.1,0,1
11.04,0.1,0,1
11.05,0.1,0,1
11.06,0.1,0,1
11.07,0.1,0,1
11.08,0.1,0,1
11.09,0.1,0,1
11.1,0.1,0,0.99
11.11,0.1,0,0.99
11.12,0.1,0,0.99
11.13,0.1,0,0.99
11.14,0.1,0,0.99
11.15,0.1,0,0.99
11.16,0.1,0,0.99
11.17,0.11,0,0.99
11.18,0.11,0,0.99
11.19,0.11,0,0.99
11.2,0.11,0,0.99
11.21,0.11,0,0.99
11.22,0.11,0,0.99
11.23,0.11,0,0.99
11.24,0.11,0,0.99
11.25,0.11,0,0.99
11.26,0.11,0,0.99
11.27,0.11,0,0.99
11.28,0.11,0,0.99
11.29,0.11,0,0.99
11.3,0.11,0,0.99
11.31,0.11,0,0.99
11.32,0.12,0,0.99
11.33,0.12,0,0.99
11.34,0.12,0,0.99
11.35,0.12,0,0.99
11.36,0.12,0,0.99
11.37,0.12,0,0.99
11.38,0.12,0,0.99
11.39,0.12,0,0.99
11.4,0.12,0,0.99
11.41,0.12,0,0.99
11.42,0.12,0,0.99
11.43,0.12,0,0.99
11.44,0.12,0,0.99
11.45,0.12,0,0.99
11.46,0.13,0,0.99
11.47,0.13,0,0.99
11.48,0.13,0,0.99
11.49,0.13,0,0.99
11.5,0.13,0,0.99
11.51,0.13,0,0.99
11.52,0.13,0,0.99
11.53,0.13,0,0.99
11.54,0.13,0,0.99
11.55,0.13,0,0.99
11.56,0.13,0,0.99
11.57,0.13,0,0.99
11.58,0.13,0,0.99
11.59,0.13,0,0.99
11.6,0.14,0,0.99
11.61,0.14,0,0.99
11.62,0.14,0,0.99
11.63,0.14,0,0.99
11.64,0.14,0,0.99
11.65,0.14,0,0.99
11.66,0.14,0,0.99
11.67,0.14,0,0.99
11.68,0.14,0,0.99
11.69,0.14,0,0.99
11.7,0.14,0,0.99
11.71,0.14,0,0.99
11.72,0.14,0,0.99
11.73,0.15,0,0.99
11.74,0.15,0,0.99
11.75,0.15,0,0.99
11.76,0.15,0,0.99
11.77,0.15,0,0.99
11.78,0.15,0,0.99
11.79,0.15,0,0.99
11.8,0.15,0,0.99
11.81,0.15,0,0.99
11.82,0.15,0,0.99
11.83,0.15,0,0.99
11.84,0.15,0,0.99
11.85,0.15,0,0.99
11.86,0.16,0,0.99
11.87,0.16,0,0.99
11.88,0.16,0,0.99
11.89,0.16,0,0.99
11.9,0.16,0,0.99
11.91,0.16,0,0.99
11.92,0.16,0,0.99
11.93,0.16,0,0.99
11.94,0.16,0,0.99
11.95,0.16,0,0.99
11.96,0.16,0,0.99
11.97,0.16,0,0.99
11.98,0.17,0,0.99
11.99,0.17,0,0.99
12,0.17,0,0.99
12.01,0.17,0,0.99
12.02,0.17,0,0.99
12.03,0.17,0,0.99
12.04,0.17,0,0.99
12.05,0.17,0,0.99
12.06,0.17,0,0.99
12.07,0.17,0,0.98
12.08,0.17,0,0.98
12.09,0.17,0,0.98
12.1,0.18,0,0.98
12.11,0.18,0,0.98
12.12,0.18,0,0.98
12.13,0.18,0,0.98
12.14,0.18,0,0.98
12.15,0.18,0,0.98
12.16,0.18,0,0.98
12.17,0.18,0,0.98
12.18,0.18,0,0.98
12.19,0.18,0,0.98
12.2,0.18,0,0.98
12.21,0.18,0,0.98
12.22,0.19,0,0.98
12.23,0.19,0,0.98
12.24,0.19,0,0.98
12.25,0.19,0,0.98
12.26,0.19,0,0.98
12.27,0.19,0,0.98
12.28,0.19,0,0.98
12.29,0.19,0,0.98
12.3,0.19,0,0.98
12.31,0.19,0,0.98
12.32,0.19,0,0.98
12.33,0.2,0,0.98
12.34,0.2,0,0.98
12.35,0.2,0,0.98
12.36,0.2,0,0.98
12.37,0.2,0,0.98
12.38,0.2,0,0.98
12.39,0.2,0,0.98
12.4,0.2,0,0.98
12.41,0.2,0,0.98
12.42,0.2,0,0.98
12.43,0.2,0,0.98
12.44,0.2,0,0.98
12.45,0.21,0,0.98
12.46,0.21,0,0.98
12.47,0.21,0,0.98
12.48,0.21,0,0.98
12.49,0.21,0,0.98
12.5,0.21,0,0.98
12.51,0.21,0,0.98
12.52,0.21,0,0.98
12.53,0.21,0,0.98
12.54,0.21,0,0.98
12.55,0.22,0,0.98
12.56,0.22,0,0.98
12.57,0.22,0,0.98
12.58,0.22,0,0.98
12.59,0.22,0,0.98
12.6,0.22,0,0.98
12.61,0.22,0,0.98
12.62,0.22,0,0.98
12.63,0.22,0,0.97
12.64,0.22,0,0.97
12.65,0.22,0,0.97
12.66,0.23,0,0.97
12.67,0.23,0,0.97
12.68,0.23,0,0.97
12.69,0.23,0,0.97
12.7,0.23,0,0.97
12.71,0.23,0,0.97
12.72,0.23,0,0.97
12.73,0.23,0,0.97
12.74,0.23,0,0.97
12.75,0.23,0,0.97
12.76,0.24,0,0.97
12.77,0.24,0,0.97
12.78,0.24,0,0.97
12.79,0.24,0,0.97
12.8,0.24,0,0.97
12.81,0.24,0,0.97
12.82,0.24,0,0.97
